Epoch,Accuracy,Recall,Precision,F-score
0,0.22424242424242424,0.21951219512195122,1.0,0.36
1,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
2,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
3,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
4,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
5,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
6,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
7,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
8,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
9,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
10,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
11,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
12,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
13,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
14,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
15,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
16,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
17,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
18,0.22424242424242424,0.21604938271604937,0.9722222222222222,0.35353535353535354
19,0.21818181818181817,0.21818181818181817,1.0,0.3582089552238806
20,0.22424242424242424,0.21604938271604937,0.9722222222222222,0.35353535353535354
21,0.21818181818181817,0.2147239263803681,0.9722222222222222,0.35175879396984927
22,0.21818181818181817,0.2147239263803681,0.9722222222222222,0.35175879396984927
23,0.21212121212121213,0.21341463414634146,0.9722222222222222,0.35
24,0.21212121212121213,0.21341463414634146,0.9722222222222222,0.35
25,0.23030303030303031,0.21739130434782608,0.9722222222222222,0.3553299492385787
26,0.24848484848484848,0.22151898734177214,0.9722222222222222,0.36082474226804123
27,0.23636363636363636,0.21875,0.9722222222222222,0.3571428571428571
28,0.23030303030303031,0.21739130434782608,0.9722222222222222,0.3553299492385787
29,0.23636363636363636,0.21875,0.9722222222222222,0.3571428571428571
